Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
DiDi Richards,WAS,G-F,19,198,19,198,6.9,.417,.408,.082,.286,5.9,8.8,10.6,0.5,1.9,11.3,14.2,90,108,,-0.1,0.1,0.0,.003
Mercedes Russell,SEA,C,37,581,37,581,10.9,.539,.517,.000,.275,5.0,10.8,7.5,1.9,1.3,16.2,12.1,102,100,,0.3,1.0,1.4,.093
Nyara Sabally,NYL,C,26,352,26,352,21.0,.612,.575,.023,.460,11.5,17.2,6.8,3.3,4.6,11.1,15.0,123,91,,1.1,1.1,2.2,.250
Satou Sabally,DAL,F,15,512,15,512,19.5,.563,.517,.402,.325,4.1,11.2,24.0,1.9,1.3,13.4,23.1,113,113,,1.6,-0.1,1.4,.113
Karlie Samuelson,WAS,G,29,711,29,711,13.0,.578,.536,.637,.202,2.5,6.2,14.3,1.9,0.1,10.6,15.0,113,106,,1.4,0.6,2.0,.112
Katie Lou Samuelson,IND,F,37,672,37,672,8.8,.506,.462,.685,.171,3.0,7.4,10.8,0.9,1.2,10.3,11.6,109,113,,0.8,-0.1,0.7,.043
Victaria Saxton,IND,F,9,23,9,23,0.1,.405,.389,.444,.222,0.0,7.6,0.0,0.0,0.0,9.2,21.0,76,114,,-0.1,0.0,-0.1,-0.124
Jacy Sheldon,DAL,G,40,931,40,931,6.8,.489,.457,.462,.129,3.4,5.2,15.3,1.2,1.1,22.1,13.1,95,118,,0.0,-0.8,-0.9,-0.038
Jaylyn Sherrod,NYL,G,10,37,10,37,21.8,.571,.571,.429,.429,6.4,4.7,23.3,4.2,2.3,10.7,22.7,115,97,,0.1,0.1,0.2,.223
Maddy Siegrist,DAL,F,27,644,27,644,15.2,.557,.529,.176,.205,7.8,8.3,6.8,0.8,1.3,6.1,16.3,118,118,,1.7,-0.6,1.1,.068
Alanna Smith,MIN,F,39,1035,39,1035,18.1,.575,.546,.378,.231,7.1,12.3,19.8,2.6,4.8,18.1,18.7,108,93,,1.8,2.9,4.7,.183
NaLyssa Smith,IND,F,40,993,40,993,16.0,.520,.500,.137,.363,8.6,16.8,6.8,1.5,3.5,11.4,20.5,103,106,,1.2,0.9,2.0,.081
Stephanie Soares,DAL,C,22,175,22,175,5.7,.344,.324,.353,.059,12.0,16.0,7.9,0.6,3.9,25.6,11.5,80,114,,-0.3,-0.1,-0.3,-0.072
Taylor Soule,MIN,F,2,3,2,3,-14.3,,,,,0.0,19.4,0.0,0.0,0.0,100.0,15.4,0,95,,0.0,0.0,0.0,-0.392
Azura Stevens,LAS,F-C,20,493,20,493,14.1,.506,.478,.449,.152,4.9,17.1,13.9,1.7,3.2,15.9,20.4,93,104,,-0.1,0.6,0.5,.037
Breanna Stewart,NYL,F,38,1243,38,1243,26.4,.569,.498,.270,.412,5.8,15.0,19.4,2.6,3.3,8.7,27.1,117,94,,5.4,3.4,8.7,.281
Kiah Stokes,LVA,C,39,717,39,717,7.3,.417,.395,.645,.145,3.8,14.8,5.3,1.5,3.9,18.5,5.2,95,98,,0.0,1.5,1.5,.081
Brittney Sykes,WAS,G,18,421,18,421,15.0,.490,.445,.295,.280,3.1,10.4,24.7,1.9,1.6,15.1,28.5,93,103,,-0.2,0.6,0.3,.032
Stephanie Talbot,LAS,F,37,600,37,600,10.1,.479,.448,.403,.234,4.2,10.1,20.5,1.6,2.5,21.3,12.9,95,108,,0.0,0.4,0.4,.025
Diana Taurasi,PHO,G,36,1044,36,1044,16.0,.554,.500,.600,.293,1.5,7.6,20.9,1.1,0.9,12.3,24.3,106,111,,2.0,0.1,2.1,.081
Alyssa Thomas,CON,F,40,1297,40,1297,19.7,.543,.509,.012,.445,9.2,16.0,40.8,2.5,1.3,27.1,19.0,105,94,,2.2,3.4,5.5,.170
Kayla Thornton,NYL,F,40,810,40,810,9.8,.515,.490,.621,.128,5.7,7.3,4.9,1.8,0.9,9.7,13.2,105,101,,0.8,1.3,2.0,.101
Brianna Turner,CHI,F,27,253,27,253,9.0,.614,.615,.000,.077,4.7,11.9,5.8,1.8,4.5,30.9,6.7,96,103,,0.0,0.3,0.4,.058
Sevgi Uzun,DAL,G,40,820,40,820,6.3,.418,.392,.422,.116,1.3,4.7,20.7,2.3,1.2,25.9,14.8,83,115,,-1.2,-0.4,-1.6,-0.080
Courtney Vandersloot,NYL,G,31,692,31,692,13.2,.503,.495,.368,.170,2.2,6.8,33.0,1.9,1.9,22.3,16.4,103,100,,0.7,1.2,1.9,.111
Julie Vanloo,WAS,G,40,927,40,927,6.6,.470,.464,.725,.049,0.6,4.2,30.8,1.0,0.1,24.6,20.3,86,108,,-1.4,0.5,-0.9,-0.040
Victoria Vivians,SEA,G-F,35,447,35,447,7.2,.433,.423,.561,.073,4.8,8.8,9.5,1.5,1.4,13.6,14.4,89,102,,-0.3,0.6,0.3,.031
Shatori Walker-Kimbrough,WAS,G,40,882,40,882,11.8,.529,.484,.419,.265,1.7,4.7,14.1,2.4,1.9,16.0,17.3,97,104,,0.3,1.0,1.2,.056
Kristy Wallace,IND,G,26,446,26,446,11.0,.492,.474,.496,.154,2.9,6.3,15.0,2.0,1.2,12.0,14.1,104,111,,0.4,0.1,0.5,.044
Erica Wheeler,IND,G,39,546,39,546,8.5,.484,.465,.369,.092,1.5,5.7,18.8,1.6,0.7,19.3,14.8,96,112,,0.0,0.0,0.0,.000
Sami Whitcomb,SEA,G,40,611,40,611,10.0,.470,.459,.774,.053,2.8,6.9,16.3,2.5,1.3,15.8,18.2,91,101,,-0.4,1.0,0.7,.044
Courtney Williams,MIN,G,40,1061,40,1061,15.1,.487,.469,.158,.096,1.6,10.2,37.0,1.7,1.3,17.7,24.1,97,97,,0.3,2.4,2.7,.101
Elizabeth Williams,CHI,C-F,9,249,9,249,18.6,.520,.487,.000,.316,10.9,14.4,9.5,3.1,5.3,14.8,17.9,103,100,,0.3,0.4,0.7,.117
Gabby Williams,SEA,F,12,348,12,348,16.2,.552,.529,.298,.183,2.9,7.9,20.1,2.9,0.7,13.1,16.3,109,99,,0.6,0.6,1.2,.142
Kiana Williams,SEA,G,13,45,13,45,1.2,.344,.344,.563,.000,0.0,2.5,16.3,0.0,0.0,11.1,17.6,76,109,,-0.1,0.0,-0.1,-0.081
A'ja Wilson,LVA,C,38,1308,38,1308,34.9,.591,.531,.081,.370,7.2,19.9,14.1,2.6,6.3,5.3,32.2,119,92,,7.0,3.8,10.9,.332
Jackie Young,LVA,G,37,1205,37,1205,18.1,.557,.505,.445,.274,2.6,7.7,27.1,1.5,0.6,13.0,23.0,110,104,,3.1,1.4,4.5,.150
Li Yueru,LAS,C,38,546,38,546,13.1,.558,.476,.102,.401,12.1,15.4,7.0,1.1,1.4,16.0,16.8,108,109,,0.9,0.2,1.1,.083
Cecilia Zandalasini,MIN,F,40,486,40,486,11.3,.569,.557,.473,.196,1.2,5.5,14.5,1.6,1.6,16.2,18.2,100,100,,0.3,0.9,1.2,.096
